pair_id,job_id,cand_id,domain_category,job_title,job_requirements,job_description,job_address,desired_job,candidate_skills,candidate_work_exp,workplace_desired,human_role_score,human_skill_score,human_exp_score,human_loc_score,human_relevance,human_rationale
4243,JOB_60,CV_089,SAME_DOMAIN,Nhân Viên Kinh Doanh - Hồ Chí Minh,"- Tốt nghiệp Đại Học chuyên ngành: Kỹ thuật điện lạnh, quản trị kinh doanh.- Kinh nghiệm làm việc: ít nhất 5 năm vị trí tương đương (có kinh nghiệm trong ngành HVAC là lợi thế).- Thành thạo kỹ năng tin học: Word, Excel- Kỹ năng lãnh đạo, giao tiếp tốt.- Tiếng anh giao tiếp cơ bản.- Vui vẻ hòa đồng, nhiệt tình, năng động, nhạy bén, có tinh thần kỷ luật, có khả năng chịu áp lực cao trong công việc.","- Kinh doanh sản phẩm (Chiller, Cooling Tower, AHU, FCU), giải pháp hệ thống điều hòa không khí HVAC, Thiết bị điện công nghiệp của Mitsubishi- Lập kế hoạch phát triển doanh số và triển khai thị trường để đạt mục tiêu doanh số của ban.- Phân tích tìm hiểu xu hướng thị trường, đối thủ cạnh tranh.- Ch",Hồ Chí Minh,Nhân viên kinh doanh,"- Trung thực, nhiệt tình, trách nhiệm. - Kỹ năng thuyết trình tốt - Có khả năng thích nghi nhanh với môi trường làm việc - Biết quan sát, sắp xếp, quản lý tốt - Có khả năng làm việc dưới áp lực cao - Có khả năng xây dựng và làm việc theo đội nhóm - Khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - Sử dụng thành thạo phần mềm Microsoft Word, Excel, Power Point … - Khả năng truyền đạt thông tin hiệu quả",1-3 năm,Hà Nội,,,,,,
1509,JOB_21,CV_009,SAME_DOMAIN,Nhân Viên Kinh Doanh Tại Hà Nội,"- Ứng viên tốt nghiệp từ Trung cấp trở lên- Nhận cả nam và nữ giới. Không yêu cầu kinh nghiệm ( Ưu tiên ứng viên mới ra trường)- Ưu tiên người có kinh nghiệm sales trong mọi lĩnh vực- Chỉ cần chịu khó, chăm chỉ, hoạt bát, nhanh nhẹn.","- Chăm sóc data thông tin khách hàng sẵn có của công ty.- Tìm kiếm, mở rộng thị trường và thiết lập các mối quan hệ với khách hàng hoặc dự án.- Duy trì những quan hệ kinh doanh hiện có, nhận đơn đặt hàng. Thiết lập những mối quan hệ kinh doanh mới.- Thời gian làm việc: sáng từ 7h30-11h30, chiều từ 1",Hà Nội,Nhân viên Kinh Doanh,"- Có niềm say mê trong công việc - Giao tiếp, ứng xử với mọi người tốt - Có khả năng thích nghi nhanh với môi trường làm việc - Kỹ năng lên kế hoạch, tổ chức sắp xếp công việc. - Khả năng chịu được áp lực công việc - Kỹ năng làm việc nhóm tốt. - Khả năng giải quyết vấn đề linh hoạt - Kỹ năng thao tác bàn phím tốt - Khả năng truyền đạt thông tin hiệu quả",1-3 năm,Hồ Chí Minh,,,,,,
5217,JOB_74,CV_044,DIFFERENT_DOMAIN,Nhân Viên Khai Báo Hải Quan,"- Ưu tiên có kinh nghiệm về thanh khoản, báo cáo quyết toán.- Thành thạo tiếng Anh (nghe nói, đọc, viết) và kỹ năng máy tính tốt (MS. Words, Excel, PowerPoint)- Có ít nhất 2 năm kinh nghiệm trở lên cùng vị trí tại Forwarder, hiểu biết về các thủ tục xuất nhập khẩu, giấy phép xuất nhập khẩu hàng hóa, thành thao và nắm rõ những công việc của 1 customs broker.- Có kiến thức về luật hải quan Việt Nam.- Nhiệt tình và có kỹ năng giao tiếp, đàm phán với khách hàng, đồng nghiệp và trưởng bộ phận.- Sẵn sàng chấp nhận thử thách, chịu được áp lực làm việc với cường độ công việc cao.","1. Nhận chứng từ xuất nhập khẩu từ đại lý và khách hàng.2. Kiểm tra thông tin hàng hóa, giấy phép xuất nhập khẩu cần thiết (nếu có).3. Khai báo Hải quan qua phần mềm ECUS / Vnaccs cho tất cả các loại hàng kinh doanh, đầu tư gia công và khu chế xuất.4. Làm kiểm dịch động vật, thực vật, giám định, kiể",Hà Nội,canh tác nông sản,"Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênChăm chỉ, chịu khó tìm hiểu các vấn đề trong công việc và cuộc sốngTinh thần trách nhiệm trong công việcChịu được áp lực trong công việcHòa đồng, vui vẻ với đồng nghiệp- Nắm bắt được những kỹ thuật chuyên ngành, thường xuyên cập nhật các kiến thức về khoa học công nghệ về các giống cây trồng, vật nuôi. Sử dụng các biện pháp kỹ thuật quốc tế, tiến hành một số thay đổi cho phù hợp với thực tế trong nước để cải thiện chất lượng sản phẩm. - Được đào tạo các kiến thức chuyên sâu về kỹ sư nông học, thành thạo trong việc triển khai các dự án từ phân chia công việc, theo dõi tiến độ dự án đến nghiệm thu kết quả. - Có kỹ năng giao tiếp tốt, truyền đạt những mong muốn, tầm nhìn, chiến lược hành động đến nhân viên trong công ty một cách rõ ràng. Xử lý nhanh những vấn đề về kỹ thuật cũng như con người để nâng cao hiệu suất làm việc, tạo ra môi trường làm việc tích cực.",1-3 năm,Bình Dương,,,,,,
2033,JOB_29,CV_003,SAME_DOMAIN,Quản Lý Cửa Hàng Thời Trang,"- Nam,nữ độ tuổi từ 28-35 . Ngoại hình ưa nhìn. Có gu ăn mặc là một lợi thế- Có 2 năm kinh nghiệm quản lý lĩnh vực thời trang, bán lẻ- Khả năng sale tốt.","-Chịu trách nhiệm toàn bộ hàng hóa, nhân viên trong Showroom-Chịu trách nhiệm hàng hóa, doanh số trong showroom-Kiểm tra cách trưng bày hàng hóa sao cho bắt mắt và thường xuyên thay đổi.-Sắp xếp lịch làm việc cho nhân viên hàng tuần.-Có kế hoạch Chăm sóc khách hàng offline, online thường xuyên thúc ",Bắc Ninh,Nhân viên lái xe hạng C,"Có khả năng chu toàn công việc, siêng năng, tỉ mỉ Kỹ năng bảo dưỡng, sửa chữa xe tốt Am hiểu các kỹ thuật khó, mang tính chuyên môn cao Có khả năng quản lý công việc, từng nằm trong đội ngũ chuyên viên kỹ thuật về xe tải Có chứng chỉ đảm bảo kỹ thuật sửa chữa, bảo trì các phương tiện (ô tô, xe máy) Thân thiện, hòa đồng, cởi mở trong môi trường làm việc Khả năng công nghệ thông tin, tin học văn phòng ở mức độ trung bình - khá Tốt nghiệp nghiệp vụ kỹ thuật ôtô được cấp bởi Trường trung cấp công nghệ Hà Nội Có điều kiện, khả năng gắn bó lâu dài với công ty, doanh nghiệp",5-10 năm,Hà Nội,,,,,,
206,JOB_02,CV_038,DIFFERENT_DOMAIN,HR Business Partner,"Tốt nghiệp đại học các chuyên ngành liên quan như kinh tế, quản trị, hành chánh, luật...Am hiểu sâu về Luật Lao động, Luật doanh nghiệp, Luật BHXH, Luật Công đoàn.Có ít nhất 3 năm kinh nghiệm trong công tác quản trị nhân sự và hành chánh. Ít nhất 1 năm kinh nghiệm ở vị trí tương đương.Kỹ năng lãnh đạo nhân viên; lập kế hoạch; giao tiếp tốtKỹ năng tổ chức và giám sát công việcKỹ năng phân tích, tổng hợp, làm báo cáo.Có khả năng chịu áp lực cao trong công việcTrung thực, chính trực, nhiệt tình công tác. Sáng tạo trong công việc","Xây dựng và thực hiện chiến lược nhân sự phù hợp với chiến lược kinh doanh tổng thể trong từng giai đoạn phát triển của Công ty.Giám sát và quản lý hệ thống đánh giá, thưởng phạt cho nhân viên.Hỗ trợ các nhu cầu kinh doanh thông qua việc tham gia phát triền và giưc chân lao độngXây dựng và quản lý k",Hồ Chí Minh,Nhân viên lái xe bằng B2,"- Có bằng lái xe A1, chủ động về phương tiện di chuyển - Kỹ năng giao hàng bằng xe máy - Thông thạo mọi cung đường tại Hà Nội - Biết sử dụng điện thoại thông minh - Cẩn thận, có trách nhiệm trong công việc - Nhanh nhẹn, chịu khó, ham học hỏi - Kỹ năng giao tiếp tốt - Có thể làm thêm giờ nếu cần thiết - Tuân thủ đúng luật an toàn giao thông, tránh vi phạm gây ảnh hưởng tới công việc.",1-3 năm,Bình Thuận,,,,,,
195,JOB_02,CV_082,SAME_DOMAIN,HR Business Partner,"Tốt nghiệp đại học các chuyên ngành liên quan như kinh tế, quản trị, hành chánh, luật...Am hiểu sâu về Luật Lao động, Luật doanh nghiệp, Luật BHXH, Luật Công đoàn.Có ít nhất 3 năm kinh nghiệm trong công tác quản trị nhân sự và hành chánh. Ít nhất 1 năm kinh nghiệm ở vị trí tương đương.Kỹ năng lãnh đạo nhân viên; lập kế hoạch; giao tiếp tốtKỹ năng tổ chức và giám sát công việcKỹ năng phân tích, tổng hợp, làm báo cáo.Có khả năng chịu áp lực cao trong công việcTrung thực, chính trực, nhiệt tình công tác. Sáng tạo trong công việc","Xây dựng và thực hiện chiến lược nhân sự phù hợp với chiến lược kinh doanh tổng thể trong từng giai đoạn phát triển của Công ty.Giám sát và quản lý hệ thống đánh giá, thưởng phạt cho nhân viên.Hỗ trợ các nhu cầu kinh doanh thông qua việc tham gia phát triền và giưc chân lao độngXây dựng và quản lý k",Hồ Chí Minh,Thực tập nhân sự,"Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênChăm chỉ, chịu khó tìm hiểu các vấn đề trong công việc và cuộc sốngTinh thần trách nhiệm trong công việcChịu được áp lực trong công việcHòa đồng, vui vẻ với đồng nghiệp",Chưa có kinh nghiệm,Hồ Chí Minh,,,,,,
1619,JOB_23,CV_000,DIFFERENT_DOMAIN,Nhân Viên Đào Tạo,"- Linh hoạt, chủ động trong công việc- Kỹ năng thuyết trình, giải quyết vấn đề, làm việc theo nhóm và độc lập- Tốt nghiệp Đại học trở lên- Có thể sử dụng tốt powerpoint, canva...","- Lên lịch và tổ chức các lớp học, làm báo cáo tổng hợp đánh giá kết quả của các lớp học này có tham khảo ý kiến từ giảng viên và học viên- Quản lý cơ sở dữ liệu đào tạo, dữ liệu nhà cung cấp, thư viện tài liệu đào tạo- Trực tiếp thuyết trình trong các buổi đào tạo định hướng cho nhân viên mới của T",Hà Nội,Nhân viên lái xe bằng B2,"- Bằng lái xe hạng C, D, E và có kinh nghiệm 5 năm lái xe tải, 5 năm lái xe khách. - Am hiểu về xe tải, biết cách xử lý các vấn đề xảy ra với xe. - Bảo quản và giữ gìn xe sạch sẽ, thường xuyên bảo dưỡng xe. - Lái xe an toàn và đảm bảo tuân thủ luật giao thông. - Khả năng ghi nhớ nhanh chóng, nhớ đường tốt. - Kỹ năng giao tiếp và thiết lập các mối quan hệ với khách hàng, đồng nghiệp. - Kỹ năng giải quyết vấn đề. - Sắp xếp và tổ chức, quản lý công việc hiệu quả, đảm bảo hàng hóa đến tay khách hàng nhanh nhất. - Chịu được áp lực cao trong công việc và khi lái xe.",5-10 năm,Hà Nội,,,,,,
1430,JOB_20,CV_101,DIFFERENT_DOMAIN,Nhân Viên Kinh Doanh (Thu Nhập Lên Đến 30 Triệu),"- Nam, tuổi từ 21 trở lên;- Yêu thích kinh doanh và kiếm tiền. Chưa có kinh nghiệm nhưng có tố chất kinh doanh, yêu thích tiếp xúc khách hàng, đam mê phát triển mối quan hệ bán hàng thì sẽ được đào tạo.- Có kinh nghiệm khách hàng B2B là một lợi thế.- Có bằng lái xe ô tô là 1 lợi thế.","- Khai thác, mở rộng, thiết lập khách hàng theo kênh bán hàng đảm trách.- Vai trò đại diện thương hiệu Công ty giao dịch với khách hàng bằng việc cung cấp giải pháp, công nghệ, sản phẩm, dịch vụ...- Thực hiện trực tiếp hoạt động bán hàng, triển khai các chương trình xúc tiến thương mại theo kế hoạch",Bình Dương,Nhân viên Lái xe hạng C,"Có khả năng nắm bắt thông tin nhanh chóng, thực hiện theo chỉ qua 1 lần quan sát. Có kỹ năng giao tiếp, đàm phán, trao đổi tốt. Có kỹ năng làm việc khoa học, phân bổ thời gian hợp lý. Có sự kiên trì tốt, chịu được áp lực công việc, luôn giữ được thái độ bình tĩnh dù trong tình huống xấu nhất.",Trên 10 năm,Hà Nội,,,,,,
1457,JOB_20,CV_026,SAME_DOMAIN,Nhân Viên Kinh Doanh (Thu Nhập Lên Đến 30 Triệu),"- Nam, tuổi từ 21 trở lên;- Yêu thích kinh doanh và kiếm tiền. Chưa có kinh nghiệm nhưng có tố chất kinh doanh, yêu thích tiếp xúc khách hàng, đam mê phát triển mối quan hệ bán hàng thì sẽ được đào tạo.- Có kinh nghiệm khách hàng B2B là một lợi thế.- Có bằng lái xe ô tô là 1 lợi thế.","- Khai thác, mở rộng, thiết lập khách hàng theo kênh bán hàng đảm trách.- Vai trò đại diện thương hiệu Công ty giao dịch với khách hàng bằng việc cung cấp giải pháp, công nghệ, sản phẩm, dịch vụ...- Thực hiện trực tiếp hoạt động bán hàng, triển khai các chương trình xúc tiến thương mại theo kế hoạch",Bình Dương,Nhân viên Chăm sóc khách hàng partime,"- Kỹ năng giao tiếp, thuyết phục khách hàng giỏi, giữ chân được khách hàng. - Khả năng nói tiếng Anh lưu loát và thành thạo, giúp khách hàng thêm tin tưởng. - Chăm chỉ và chịu khó, thường xuyên trau dồi các kiến thức và am hiểu nhu cầu của thị trường, tìm kiếm được nhiều khách hàng tiềm năng. - Thân thiện và hòa đồng với khách hàng, trò chuyện với khách hàng nhẹ nhàng, hòa nhã, ngay cả khi khách hàng khó tính và dùng lời lẽ không hay. - Có khả năng giữ được bình tĩnh, có trách nhiệm với công việc mà mình đang làm.",Chưa có kinh nghiệm,Quảng Nam,,,,,,
1535,JOB_21,CV_012,SAME_DOMAIN,Nhân Viên Kinh Doanh Tại Hà Nội,"- Ứng viên tốt nghiệp từ Trung cấp trở lên- Nhận cả nam và nữ giới. Không yêu cầu kinh nghiệm ( Ưu tiên ứng viên mới ra trường)- Ưu tiên người có kinh nghiệm sales trong mọi lĩnh vực- Chỉ cần chịu khó, chăm chỉ, hoạt bát, nhanh nhẹn.","- Chăm sóc data thông tin khách hàng sẵn có của công ty.- Tìm kiếm, mở rộng thị trường và thiết lập các mối quan hệ với khách hàng hoặc dự án.- Duy trì những quan hệ kinh doanh hiện có, nhận đơn đặt hàng. Thiết lập những mối quan hệ kinh doanh mới.- Thời gian làm việc: sáng từ 7h30-11h30, chiều từ 1",Hà Nội,Chăm sóc khách hàng - Tư vấn,"Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênChăm chỉ, chịu khó tìm hiểu các vấn đề trong công việc và cuộc sốngTinh thần trách nhiệm trong công việcChịu được áp lực trong công việcHòa đồng, vui vẻ với đồng nghiệpTính cách hòa đồng, thích giao lưu học hỏi với mọi người xung quanh. Có kĩ năng làm việc nhóm tốt, có tinh thần trách nhiệm đối với công việc.",Dưới 1 năm,Hà Nội,,,,,,
