pair_id,job_id,cand_id,lf_sem,lf_skill,lf_exp,y_prob
63,JOB_369,CV_3243,0,-1,1,0.050000000000852515
64,JOB_369,CV_1471,0,-1,0,0.02538860103673903
65,JOB_369,CV_3116,0,-1,1,0.050000000000852515
66,JOB_369,CV_169,0,-1,-1,0.0005105230256900504
67,JOB_369,CV_261,0,-1,-1,0.0005105230256900504
68,JOB_369,CV_2858,0,-1,1,0.050000000000852515
69,JOB_369,CV_2418,0,-1,0,0.02538860103673903
70,JOB_369,CV_870,0,-1,1,0.050000000000852515
71,JOB_369,CV_3494,-1,-1,0,0.0005055652158428946
72,JOB_369,CV_3635,0,-1,-1,0.0005105230256900504
73,JOB_369,CV_562,0,-1,0,0.02538860103673903
74,JOB_369,CV_2822,0,-1,0,0.02538860103673903
75,JOB_369,CV_259,1,-1,1,0.09701196509778601
76,JOB_369,CV_631,0,-1,0,0.02538860103673903
77,JOB_369,CV_767,0,-1,-1,0.0005105230256900504
78,JOB_369,CV_1502,0,-1,0,0.02538860103673903
79,JOB_369,CV_3495,0,-1,0,0.02538860103673903
80,JOB_369,CV_524,0,-1,0,0.02538860103673903
81,JOB_369,CV_3150,1,-1,1,0.09701196509778601
82,JOB_369,CV_3810,0,-1,0,0.02538860103673903
83,JOB_369,CV_3680,-1,-1,0,0.0005055652158428946
84,JOB_369,CV_2473,0,-1,0,0.02538860103673903
85,JOB_369,CV_3341,1,-1,0,0.05048981939009535
86,JOB_369,CV_1186,0,-1,1,0.050000000000852515
87,JOB_369,CV_2531,0,-1,0,0.02538860103673903
88,JOB_369,CV_945,0,-1,1,0.050000000000852515
89,JOB_369,CV_281,1,-1,0,0.05048981939009535
90,JOB_4758,CV_3797,-1,-1,0,0.0005055652158428946
91,JOB_4758,CV_3243,-1,0,1,0.00206053138538357
92,JOB_4758,CV_2745,-1,-1,0,0.0005055652158428946
93,JOB_4758,CV_2869,-1,-1,-1,9.917959306947982e-06
94,JOB_4758,CV_3140,-1,-1,1,0.0010209214132788126
95,JOB_4758,CV_2858,-1,-1,1,0.0010209214132788126
96,JOB_4758,CV_1449,-1,-1,-1,9.917959306947982e-06
97,JOB_4758,CV_324,-1,-1,-1,9.917959306947982e-06
98,JOB_4758,CV_261,-1,-1,-1,9.917959306947982e-06
99,JOB_4758,CV_3406,-1,-1,1,0.0010209214132788126
100,JOB_4758,CV_3326,-1,-1,1,0.0010209214132788126
101,JOB_4758,CV_3109,-1,-1,0,0.0005055652158428946
102,JOB_4758,CV_3341,-1,-1,0,0.0005055652158428946
103,JOB_4758,CV_2600,-1,-1,0,0.0005055652158428946
104,JOB_4758,CV_2822,-1,-1,0,0.0005055652158428946
105,JOB_4758,CV_201,-1,-1,1,0.0010209214132788126
106,JOB_4758,CV_2376,-1,-1,0,0.0005055652158428946
107,JOB_4758,CV_1406,-1,-1,1,0.0010209214132788126
108,JOB_4758,CV_435,-1,-1,0,0.0005055652158428946
109,JOB_4758,CV_1186,-1,-1,1,0.0010209214132788126
110,JOB_4758,CV_2469,-1,-1,0,0.0005055652158428946
111,JOB_4758,CV_169,-1,-1,-1,9.917959306947982e-06
112,JOB_4758,CV_1471,-1,-1,0,0.0005055652158428946
113,JOB_4758,CV_2404,-1,-1,0,0.0005055652158428946
114,JOB_4758,CV_3118,-1,-1,0,0.0005055652158428946
115,JOB_4758,CV_3204,-1,-1,1,0.0010209214132788126
116,JOB_4758,CV_281,-1,-1,0,0.0005055652158428946
117,JOB_4758,CV_688,-1,-1,-1,9.917959306947982e-06
118,JOB_4758,CV_245,-1,-1,1,0.0010209214132788126
119,JOB_4758,CV_365,-1,-1,1,0.0010209214132788126
120,JOB_9765,CV_3810,1,-1,0,0.05048981939009535
121,JOB_9765,CV_3755,1,-1,0,0.05048981939009535
122,JOB_9765,CV_2822,1,-1,0,0.05048981939009535
123,JOB_9765,CV_3797,0,-1,0,0.02538860103673903
124,JOB_9765,CV_2480,1,-1,0,0.05048981939009535
125,JOB_9765,CV_2503,1,-1,0,0.05048981939009535
126,JOB_9765,CV_3406,0,-1,1,0.050000000000852515
127,JOB_9765,CV_1471,-1,-1,0,0.0005055652158428946
128,JOB_9765,CV_524,0,-1,0,0.02538860103673903
129,JOB_9765,CV_435,0,-1,0,0.02538860103673903
130,JOB_9765,CV_3433,1,-1,1,0.09701196509778601
131,JOB_9765,CV_259,1,-1,1,0.09701196509778601
132,JOB_9765,CV_2677,0,-1,-1,0.0005105230256900504
133,JOB_9765,CV_2600,1,0,0,0.09701196509778601
134,JOB_9765,CV_1449,1,-1,-1,0.0010415531554970948
135,JOB_9765,CV_2376,1,-1,0,0.05048981939009535
136,JOB_9765,CV_3150,1,-1,1,0.09701196509778601
137,JOB_9765,CV_1406,1,-1,1,0.09701196509778601
138,JOB_9765,CV_1393,1,0,0,0.09701196509778601
139,JOB_9765,CV_261,1,0,-1,0.0021021283362043807
140,JOB_9765,CV_1502,0,-1,0,0.02538860103673903
141,JOB_9765,CV_206,1,-1,0,0.05048981939009535
142,JOB_9765,CV_2858,0,-1,1,0.050000000000852515
143,JOB_9765,CV_3462,1,-1,0,0.05048981939009535
144,JOB_9765,CV_767,0,-1,-1,0.0005105230256900504
145,JOB_9765,CV_1186,1,-1,1,0.09701196509778601
146,JOB_9765,CV_2531,1,-1,0,0.05048981939009535
147,JOB_9765,CV_1432,1,-1,0,0.05048981939009535
148,JOB_9765,CV_3871,1,0,1,0.17834870653086346
149,JOB_9765,CV_3116,0,-1,1,0.050000000000852515
150,JOB_8814,CV_631,1,-1,1,0.09701196509778601
151,JOB_8814,CV_945,0,-1,0,0.02538860103673903
152,JOB_8814,CV_562,0,-1,-1,0.0005105230256900504
153,JOB_8814,CV_2531,1,-1,1,0.09701196509778601
154,JOB_8814,CV_1186,1,-1,0,0.05048981939009535
155,JOB_8814,CV_3680,-1,-1,1,0.0010209214132788126
156,JOB_8814,CV_3839,1,-1,0,0.05048981939009535
157,JOB_8814,CV_3118,0,-1,-1,0.0005105230256900504
158,JOB_8814,CV_3433,0,-1,0,0.02538860103673903
159,JOB_8814,CV_2503,1,-1,-1,0.0010415531554970948
160,JOB_8814,CV_281,0,-1,1,0.050000000000852515
161,JOB_8814,CV_3462,1,-1,1,0.09701196509778601
162,JOB_8814,CV_524,0,-1,1,0.050000000000852515
163,JOB_8814,CV_3150,1,-1,0,0.05048981939009535
164,JOB_8814,CV_2858,1,-1,0,0.05048981939009535
165,JOB_8814,CV_905,0,-1,-1,0.0005105230256900504
166,JOB_8814,CV_169,1,-1,-1,0.0010415531554970948
167,JOB_8814,CV_3526,0,-1,0,0.02538860103673903
168,JOB_8814,CV_2418,0,-1,-1,0.0005105230256900504
169,JOB_8814,CV_2376,1,-1,1,0.09701196509778601
170,JOB_8814,CV_046,0,-1,0,0.02538860103673903
171,JOB_8814,CV_1471,0,-1,-1,0.0005105230256900504
172,JOB_8814,CV_3140,1,-1,0,0.05048981939009535
173,JOB_8814,CV_2812,0,-1,0,0.02538860103673903
174,JOB_8814,CV_870,1,-1,0,0.05048981939009535
175,JOB_8814,CV_259,1,-1,0,0.05048981939009535
176,JOB_8814,CV_245,0,-1,0,0.02538860103673903
177,JOB_8814,CV_3559,1,-1,0,0.05048981939009535
178,JOB_8814,CV_3529,0,-1,-1,0.0005105230256900504
179,JOB_8814,CV_1502,1,-1,-1,0.0010415531554970948
270,JOB_5489,CV_3150,0,-1,0,0.02538860103673903
271,JOB_5489,CV_1502,1,-1,0,0.05048981939009535
272,JOB_5489,CV_678,-1,-1,0,0.0005055652158428946
273,JOB_5489,CV_278,1,-1,1,0.09701196509778601
274,JOB_5489,CV_1406,0,-1,1,0.050000000000852515
275,JOB_5489,CV_3755,-1,-1,0,0.0005055652158428946
276,JOB_5489,CV_3012,0,-1,0,0.02538860103673903
277,JOB_5489,CV_524,0,-1,0,0.02538860103673903
278,JOB_5489,CV_2579,0,-1,0,0.02538860103673903
279,JOB_5489,CV_2473,0,-1,0,0.02538860103673903
280,JOB_5489,CV_259,1,-1,1,0.09701196509778601
281,JOB_5489,CV_046,-1,-1,0,0.0005055652158428946
282,JOB_5489,CV_1449,1,-1,-1,0.0010415531554970948
283,JOB_5489,CV_201,0,-1,0,0.02538860103673903
284,JOB_5489,CV_2869,0,-1,-1,0.0005105230256900504
285,JOB_5489,CV_631,0,-1,0,0.02538860103673903
286,JOB_5489,CV_3494,-1,-1,0,0.0005055652158428946
287,JOB_5489,CV_3680,-1,-1,0,0.0005055652158428946
288,JOB_5489,CV_3462,0,-1,0,0.02538860103673903
289,JOB_5489,CV_2418,-1,-1,0,0.0005055652158428946
290,JOB_5489,CV_3733,0,-1,0,0.02538860103673903
291,JOB_5489,CV_3839,0,-1,1,0.050000000000852515
292,JOB_5489,CV_1186,0,-1,0,0.02538860103673903
293,JOB_5489,CV_2480,0,-1,0,0.02538860103673903
294,JOB_5489,CV_500,0,-1,1,0.050000000000852515
295,JOB_5489,CV_245,0,-1,1,0.050000000000852515
296,JOB_5489,CV_562,0,-1,0,0.02538860103673903
297,JOB_5489,CV_3797,0,-1,0,0.02538860103673903
298,JOB_5489,CV_767,0,-1,-1,0.0005105230256900504
299,JOB_5489,CV_3518,0,-1,1,0.050000000000852515
300,JOB_2947,CV_3868,-1,-1,1,0.0010209214132788126
301,JOB_2947,CV_870,0,-1,1,0.050000000000852515
302,JOB_2947,CV_2822,0,-1,0,0.02538860103673903
303,JOB_2947,CV_500,0,-1,1,0.050000000000852515
304,JOB_2947,CV_2473,0,-1,0,0.02538860103673903
305,JOB_2947,CV_2469,-1,-1,0,0.0005055652158428946
306,JOB_2947,CV_259,0,-1,1,0.050000000000852515
307,JOB_2947,CV_3839,1,-1,1,0.09701196509778601
308,JOB_2947,CV_046,0,-1,0,0.02538860103673903
309,JOB_2947,CV_3462,0,-1,0,0.02538860103673903
310,JOB_2947,CV_2418,-1,-1,0,0.0005055652158428946
311,JOB_2947,CV_2480,0,-1,0,0.02538860103673903
312,JOB_2947,CV_435,-1,-1,0,0.0005055652158428946
313,JOB_2947,CV_3150,1,-1,0,0.05048981939009535
314,JOB_2947,CV_865,-1,-1,-1,9.917959306947982e-06
315,JOB_2947,CV_365,-1,-1,1,0.0010209214132788126
316,JOB_2947,CV_3559,0,-1,1,0.050000000000852515
317,JOB_2947,CV_2503,0,-1,0,0.02538860103673903
318,JOB_2947,CV_1393,-1,-1,0,0.0005055652158428946
319,JOB_2947,CV_688,-1,-1,-1,9.917959306947982e-06
320,JOB_2947,CV_2869,0,-1,-1,0.0005105230256900504
321,JOB_2947,CV_278,0,-1,1,0.050000000000852515
322,JOB_2947,CV_678,-1,-1,0,0.0005055652158428946
323,JOB_2947,CV_2600,0,-1,0,0.02538860103673903
324,JOB_2947,CV_905,-1,-1,-1,9.917959306947982e-06
325,JOB_2947,CV_245,0,-1,1,0.050000000000852515
326,JOB_2947,CV_3797,-1,-1,0,0.0005055652158428946
327,JOB_2947,CV_562,0,-1,0,0.02538860103673903
328,JOB_2947,CV_2812,0,-1,1,0.050000000000852515
329,JOB_2947,CV_1432,1,-1,0,0.05048981939009535
330,JOB_10950,CV_2623,-1,-1,0,0.0005055652158428946
331,JOB_10950,CV_2677,0,-1,-1,0.0005105230256900504
332,JOB_10950,CV_3243,0,-1,1,0.050000000000852515
333,JOB_10950,CV_1471,-1,-1,0,0.0005055652158428946
334,JOB_10950,CV_905,-1,-1,-1,9.917959306947982e-06
335,JOB_10950,CV_562,-1,-1,0,0.0005055652158428946
336,JOB_10950,CV_678,-1,-1,0,0.0005055652158428946
337,JOB_10950,CV_3462,-1,-1,0,0.0005055652158428946
338,JOB_10950,CV_2869,-1,-1,-1,9.917959306947982e-06
339,JOB_10950,CV_3012,-1,-1,0,0.0005055652158428946
340,JOB_10950,CV_3118,-1,-1,0,0.0005055652158428946
341,JOB_10950,CV_2822,0,-1,0,0.02538860103673903
342,JOB_10950,CV_3204,0,-1,1,0.050000000000852515
343,JOB_10950,CV_3871,0,-1,1,0.050000000000852515
344,JOB_10950,CV_767,0,-1,-1,0.0005105230256900504
345,JOB_10950,CV_2745,0,-1,0,0.02538860103673903
346,JOB_10950,CV_2418,-1,-1,0,0.0005055652158428946
347,JOB_10950,CV_2579,0,-1,0,0.02538860103673903
348,JOB_10950,CV_3526,0,-1,1,0.050000000000852515
349,JOB_10950,CV_3150,-1,-1,1,0.0010209214132788126
350,JOB_10950,CV_3839,0,-1,1,0.050000000000852515
351,JOB_10950,CV_365,-1,-1,1,0.0010209214132788126
352,JOB_10950,CV_2503,-1,-1,0,0.0005055652158428946
353,JOB_10950,CV_3810,0,-1,0,0.02538860103673903
354,JOB_10950,CV_1449,1,-1,-1,0.0010415531554970948
355,JOB_10950,CV_2473,0,-1,0,0.02538860103673903
356,JOB_10950,CV_688,0,-1,-1,0.0005105230256900504
357,JOB_10950,CV_870,0,-1,1,0.050000000000852515
358,JOB_10950,CV_1432,1,-1,0,0.05048981939009535
359,JOB_10950,CV_3733,0,-1,0,0.02538860103673903
390,JOB_10764,CV_3559,0,0,0,0.050000000000852515
391,JOB_10764,CV_1432,1,0,1,0.17834870653086346
392,JOB_10764,CV_767,-1,-1,-1,9.917959306947982e-06
393,JOB_10764,CV_631,0,-1,1,0.050000000000852515
394,JOB_10764,CV_3529,0,-1,-1,0.0005105230256900504
395,JOB_10764,CV_2623,0,0,-1,0.001030927835170999
396,JOB_10764,CV_245,0,-1,0,0.02538860103673903
397,JOB_10764,CV_3871,0,-1,0,0.02538860103673903
398,JOB_10764,CV_3341,0,-1,-1,0.0005105230256900504
399,JOB_10764,CV_3109,0,-1,-1,0.0005105230256900504
400,JOB_10764,CV_1471,0,-1,-1,0.0005105230256900504
401,JOB_10764,CV_3406,1,-1,0,0.05048981939009535
402,JOB_10764,CV_2579,-1,-1,-1,9.917959306947982e-06
403,JOB_10764,CV_169,-1,-1,-1,9.917959306947982e-06
404,JOB_10764,CV_206,0,-1,-1,0.0005105230256900504
405,JOB_10764,CV_3433,-1,-1,0,0.0005055652158428946
406,JOB_10764,CV_1237,1,-1,0,0.05048981939009535
407,JOB_10764,CV_3680,-1,0,1,0.00206053138538357
408,JOB_10764,CV_2869,0,-1,-1,0.0005105230256900504
409,JOB_10764,CV_435,0,-1,-1,0.0005105230256900504
410,JOB_10764,CV_201,0,-1,0,0.02538860103673903
411,JOB_10764,CV_3495,0,-1,1,0.050000000000852515
412,JOB_10764,CV_3150,0,-1,0,0.02538860103673903
413,JOB_10764,CV_3635,-1,-1,-1,9.917959306947982e-06
414,JOB_10764,CV_2531,0,-1,1,0.050000000000852515
415,JOB_10764,CV_2404,0,-1,-1,0.0005105230256900504
416,JOB_10764,CV_324,0,-1,-1,0.0005105230256900504
417,JOB_10764,CV_500,0,-1,0,0.02538860103673903
418,JOB_10764,CV_2600,0,-1,1,0.050000000000852515
419,JOB_10764,CV_2932,0,-1,-1,0.0005105230256900504
420,JOB_181,CV_905,-1,-1,-1,9.917959306947982e-06
421,JOB_181,CV_245,0,-1,0,0.02538860103673903
422,JOB_181,CV_281,0,-1,1,0.050000000000852515
423,JOB_181,CV_1471,0,-1,-1,0.0005105230256900504
424,JOB_181,CV_3518,0,-1,0,0.02538860103673903
425,JOB_181,CV_3810,1,-1,1,0.09701196509778601
426,JOB_181,CV_365,0,-1,0,0.02538860103673903
427,JOB_181,CV_2503,0,-1,-1,0.0005105230256900504
428,JOB_181,CV_2677,0,-1,-1,0.0005105230256900504
429,JOB_181,CV_1393,0,-1,-1,0.0005105230256900504
430,JOB_181,CV_2469,0,-1,-1,0.0005105230256900504
431,JOB_181,CV_3529,0,-1,-1,0.0005105230256900504
432,JOB_181,CV_767,0,-1,-1,0.0005105230256900504
433,JOB_181,CV_261,0,-1,-1,0.0005105230256900504
434,JOB_181,CV_2623,0,-1,-1,0.0005105230256900504
435,JOB_181,CV_3433,-1,-1,0,0.0005055652158428946
436,JOB_181,CV_2932,0,-1,-1,0.0005105230256900504
437,JOB_181,CV_3116,0,-1,0,0.02538860103673903
438,JOB_181,CV_324,1,-1,-1,0.0010415531554970948
439,JOB_181,CV_678,-1,-1,1,0.0010209214132788126
440,JOB_181,CV_3150,0,-1,0,0.02538860103673903
441,JOB_181,CV_2812,1,-1,0,0.05048981939009535
442,JOB_181,CV_865,0,-1,-1,0.0005105230256900504
443,JOB_181,CV_3446,0,-1,1,0.050000000000852515
444,JOB_181,CV_562,0,-1,-1,0.0005105230256900504
445,JOB_181,CV_3755,0,-1,-1,0.0005105230256900504
446,JOB_181,CV_1186,0,-1,0,0.02538860103673903
447,JOB_181,CV_3494,0,-1,-1,0.0005105230256900504
448,JOB_181,CV_3680,-1,-1,1,0.0010209214132788126
449,JOB_181,CV_688,0,-1,-1,0.0005105230256900504
450,JOB_3311,CV_3733,0,-1,0,0.02538860103673903
451,JOB_3311,CV_1432,0,-1,0,0.02538860103673903
452,JOB_3311,CV_2531,-1,-1,0,0.0005055652158428946
453,JOB_3311,CV_3797,-1,-1,0,0.0005055652158428946
454,JOB_3311,CV_3326,-1,-1,1,0.0010209214132788126
455,JOB_3311,CV_2376,-1,-1,0,0.0005055652158428946
456,JOB_3311,CV_3559,-1,-1,1,0.0010209214132788126
457,JOB_3311,CV_1502,1,-1,0,0.05048981939009535
458,JOB_3311,CV_524,-1,-1,0,0.0005055652158428946
459,JOB_3311,CV_3109,-1,-1,0,0.0005055652158428946
460,JOB_3311,CV_2469,-1,-1,0,0.0005055652158428946
461,JOB_3311,CV_945,0,-1,1,0.050000000000852515
462,JOB_3311,CV_3118,-1,-1,0,0.0005055652158428946
463,JOB_3311,CV_3839,-1,-1,1,0.0010209214132788126
464,JOB_3311,CV_2677,-1,-1,-1,9.917959306947982e-06
465,JOB_3311,CV_261,-1,-1,-1,9.917959306947982e-06
466,JOB_3311,CV_1393,-1,-1,0,0.0005055652158428946
467,JOB_3311,CV_3495,-1,-1,0,0.0005055652158428946
468,JOB_3311,CV_3243,0,-1,1,0.050000000000852515
469,JOB_3311,CV_865,-1,-1,-1,9.917959306947982e-06
470,JOB_3311,CV_2404,0,-1,0,0.02538860103673903
471,JOB_3311,CV_678,-1,-1,0,0.0005055652158428946
472,JOB_3311,CV_365,-1,-1,1,0.0010209214132788126
473,JOB_3311,CV_313,-1,-1,0,0.0005055652158428946
474,JOB_3311,CV_3755,0,-1,0,0.02538860103673903
475,JOB_3311,CV_278,1,-1,1,0.09701196509778601
476,JOB_3311,CV_2869,-1,-1,-1,9.917959306947982e-06
477,JOB_3311,CV_169,-1,-1,-1,9.917959306947982e-06
478,JOB_3311,CV_3494,-1,-1,0,0.0005055652158428946
479,JOB_3311,CV_3810,0,-1,0,0.02538860103673903
480,JOB_8941,CV_865,0,-1,-1,0.0005105230256900504
481,JOB_8941,CV_261,0,-1,-1,0.0005105230256900504
482,JOB_8941,CV_688,0,-1,-1,0.0005105230256900504
483,JOB_8941,CV_3797,0,-1,0,0.02538860103673903
484,JOB_8941,CV_3810,0,-1,0,0.02538860103673903
485,JOB_8941,CV_2376,0,-1,0,0.02538860103673903
486,JOB_8941,CV_1449,0,-1,-1,0.0005105230256900504
487,JOB_8941,CV_201,0,-1,1,0.050000000000852515
488,JOB_8941,CV_1393,0,-1,0,0.02538860103673903
489,JOB_8941,CV_3529,0,-1,-1,0.0005105230256900504
490,JOB_8941,CV_2480,0,-1,0,0.02538860103673903
491,JOB_8941,CV_500,1,-1,1,0.09701196509778601
492,JOB_8941,CV_2812,0,-1,1,0.050000000000852515
493,JOB_8941,CV_313,0,-1,0,0.02538860103673903
494,JOB_8941,CV_3140,0,-1,1,0.050000000000852515
495,JOB_8941,CV_767,0,-1,-1,0.0005105230256900504
496,JOB_8941,CV_3150,0,-1,1,0.050000000000852515
497,JOB_8941,CV_3116,0,-1,1,0.050000000000852515
498,JOB_8941,CV_870,0,-1,1,0.050000000000852515
499,JOB_8941,CV_2600,0,-1,0,0.02538860103673903
500,JOB_8941,CV_905,0,-1,-1,0.0005105230256900504
501,JOB_8941,CV_3433,-1,-1,1,0.0010209214132788126
502,JOB_8941,CV_2932,0,-1,0,0.02538860103673903
503,JOB_8941,CV_3871,0,-1,1,0.050000000000852515
504,JOB_8941,CV_2418,0,-1,0,0.02538860103673903
505,JOB_8941,CV_1502,0,-1,0,0.02538860103673903
506,JOB_8941,CV_3839,0,-1,1,0.050000000000852515
507,JOB_8941,CV_2869,0,-1,-1,0.0005105230256900504
508,JOB_8941,CV_2623,0,-1,0,0.02538860103673903
509,JOB_8941,CV_324,0,-1,-1,0.0005105230256900504
510,JOB_9537,CV_1406,1,-1,1,0.09701196509778601
511,JOB_9537,CV_2480,1,-1,0,0.05048981939009535
512,JOB_9537,CV_3494,-1,-1,0,0.0005055652158428946
513,JOB_9537,CV_2623,1,-1,0,0.05048981939009535
514,JOB_9537,CV_3559,1,-1,1,0.09701196509778601
515,JOB_9537,CV_281,0,-1,0,0.02538860103673903
516,JOB_9537,CV_3140,1,-1,1,0.09701196509778601
517,JOB_9537,CV_1186,1,-1,1,0.09701196509778601
518,JOB_9537,CV_2531,1,-1,0,0.05048981939009535
519,JOB_9537,CV_3733,0,-1,0,0.02538860103673903
520,JOB_9537,CV_3839,1,-1,1,0.09701196509778601
521,JOB_9537,CV_3635,0,-1,-1,0.0005105230256900504
522,JOB_9537,CV_2600,1,-1,0,0.05048981939009535
523,JOB_9537,CV_324,1,-1,-1,0.0010415531554970948
524,JOB_9537,CV_2822,1,-1,0,0.05048981939009535
525,JOB_9537,CV_3810,0,-1,0,0.02538860103673903
526,JOB_9537,CV_3518,1,-1,1,0.09701196509778601
527,JOB_9537,CV_1471,0,-1,0,0.02538860103673903
528,JOB_9537,CV_2376,1,-1,0,0.05048981939009535
529,JOB_9537,CV_562,0,-1,0,0.02538860103673903
530,JOB_9537,CV_3462,1,-1,0,0.05048981939009535
531,JOB_9537,CV_2741,1,-1,0,0.05048981939009535
532,JOB_9537,CV_870,1,-1,1,0.09701196509778601
533,JOB_9537,CV_3012,1,-1,0,0.05048981939009535
534,JOB_9537,CV_261,1,-1,-1,0.0010415531554970948
535,JOB_9537,CV_1432,1,-1,0,0.05048981939009535
536,JOB_9537,CV_2418,0,-1,0,0.02538860103673903
537,JOB_9537,CV_3118,-1,-1,0,0.0005055652158428946
538,JOB_9537,CV_3797,1,-1,0,0.05048981939009535
539,JOB_9537,CV_3341,1,-1,0,0.05048981939009535
540,JOB_8072,CV_2404,0,-1,0,0.02538860103673903
541,JOB_8072,CV_324,1,-1,-1,0.0010415531554970948
542,JOB_8072,CV_870,1,-1,1,0.09701196509778601
543,JOB_8072,CV_3518,1,-1,1,0.09701196509778601
544,JOB_8072,CV_1449,0,-1,-1,0.0005105230256900504
545,JOB_8072,CV_3494,-1,-1,0,0.0005055652158428946
546,JOB_8072,CV_259,0,-1,1,0.050000000000852515
547,JOB_8072,CV_3116,1,-1,0,0.05048981939009535
548,JOB_8072,CV_3462,0,-1,0,0.02538860103673903
549,JOB_8072,CV_3326,0,-1,1,0.050000000000852515
550,JOB_8072,CV_2932,0,-1,0,0.02538860103673903
551,JOB_8072,CV_3526,0,-1,0,0.02538860103673903
552,JOB_8072,CV_3118,-1,-1,0,0.0005055652158428946
553,JOB_8072,CV_2480,1,-1,0,0.05048981939009535
554,JOB_8072,CV_2531,1,-1,0,0.05048981939009535
555,JOB_8072,CV_2677,0,-1,-1,0.0005105230256900504
556,JOB_8072,CV_2503,-1,-1,0,0.0005055652158428946
557,JOB_8072,CV_2741,0,0,0,0.050000000000852515
558,JOB_8072,CV_1237,1,-1,1,0.09701196509778601
559,JOB_8072,CV_1432,1,-1,0,0.05048981939009535
560,JOB_8072,CV_2822,0,-1,0,0.02538860103673903
