pair_id,job_id,cand_id,lf_skill,lf_sem,lf_exp,lf_role,lf_loc,y_prob,y_weak_consensus
111,JOB_4111,CV_2541,-1,1,-1,0,-1,0.003181698906503991,0
112,JOB_4111,CV_2313,-1,0,-1,-1,-1,0.0008827918008007309,0
113,JOB_4111,CV_2732,-1,1,-1,0,-1,0.003181698906503991,0
114,JOB_4111,CV_929,-1,0,1,-1,-1,0.016728886119059285,0
115,JOB_4111,CV_263,-1,0,1,0,-1,0.02828921519950765,0
116,JOB_4111,CV_661,-1,1,-1,0,-1,0.003181698906503991,0
117,JOB_4111,CV_2877,-1,-1,1,0,-1,0.002639631480061397,0
118,JOB_4111,CV_1792,-1,0,1,0,-1,0.02828921519950765,0
119,JOB_4111,CV_1325,-1,1,1,0,-1,0.05790168407977278,0
120,JOB_4111,CV_924,-1,1,1,-1,-1,0.034672065104421654,0
121,JOB_4111,CV_187,-1,0,1,1,-1,0.05232559089768777,0
122,JOB_4111,CV_869,-1,1,-1,0,-1,0.003181698906503991,0
123,JOB_4111,CV_2327,-1,0,-1,0,-1,0.0015096485596628858,0
124,JOB_4111,CV_216,-1,1,1,0,-1,0.05790168407977278,0
125,JOB_4111,CV_2356,-1,1,-1,0,-1,0.003181698906503991,0
126,JOB_4111,CV_3094,-1,1,-1,0,-1,0.003181698906503991,0
127,JOB_4111,CV_788,-1,-1,-1,0,-1,0.00013742938756156384,0
128,JOB_4111,CV_2253,-1,1,1,0,-1,0.05790168407977278,0
129,JOB_4111,CV_3547,-1,1,-1,0,-1,0.003181698906503991,0
130,JOB_4111,CV_1687,-1,0,1,0,-1,0.02828921519950765,0
131,JOB_4111,CV_601,-1,0,1,0,-1,0.02828921519950765,0
132,JOB_4111,CV_3710,-1,0,1,0,-1,0.02828921519950765,0
133,JOB_4111,CV_3399,-1,1,1,0,-1,0.05790168407977278,0
134,JOB_4111,CV_2177,-1,0,1,-1,1,0.07916723666250709,0
135,JOB_4111,CV_1795,-1,1,-1,0,-1,0.003181698906503991,0
136,JOB_4111,CV_337,-1,1,-1,0,-1,0.003181698906503991,0
137,JOB_4111,CV_1751,-1,0,-1,0,-1,0.0015096485596628858,0
138,JOB_4111,CV_3051,-1,0,1,0,-1,0.02828921519950765,0
139,JOB_4111,CV_1574,-1,0,1,0,-1,0.02828921519950765,0
140,JOB_4111,CV_2420,-1,1,0,0,-1,0.028572286214813686,0
141,JOB_4111,CV_1781,-1,0,-1,0,-1,0.0015096485596628858,0
142,JOB_4111,CV_1494,-1,1,1,0,-1,0.05790168407977278,0
143,JOB_4111,CV_2402,-1,1,0,0,-1,0.028572286214813686,0
144,JOB_4111,CV_634,-1,1,-1,0,-1,0.003181698906503991,0
145,JOB_4111,CV_251,-1,0,1,0,-1,0.02828921519950765,0
146,JOB_4111,CV_040,-1,1,-1,0,-1,0.003181698906503991,0
147,JOB_4111,CV_2584,-1,1,-1,0,-1,0.003181698906503991,0
148,JOB_4111,CV_1633,-1,0,1,0,-1,0.02828921519950765,0
149,JOB_4111,CV_1172,-1,-1,1,-1,-1,0.0015442935692705172,0
150,JOB_4111,CV_877,-1,0,1,0,-1,0.02828921519950765,0
151,JOB_4111,CV_505,-1,1,1,0,-1,0.05790168407977278,0
152,JOB_4111,CV_307,-1,0,0,1,-1,0.025743514038269317,0
153,JOB_4111,CV_1231,-1,1,1,-1,-1,0.034672065104421654,0
154,JOB_4111,CV_3455,-1,-1,-1,-1,-1,8.03182586734358e-05,0
155,JOB_4111,CV_1380,-1,0,1,0,-1,0.02828921519950765,0
156,JOB_4111,CV_3792,-1,1,0,-1,-1,0.01689829239252925,0
157,JOB_4111,CV_1138,-1,1,1,0,-1,0.05790168407977278,0
158,JOB_4111,CV_2436,-1,1,1,0,-1,0.05790168407977278,0
159,JOB_4111,CV_1577,-1,1,-1,0,-1,0.003181698906503991,0
160,JOB_4111,CV_3657,-1,1,1,1,1,0.3706850697644348,0
161,JOB_4111,CV_2913,-1,0,1,0,-1,0.02828921519950765,0
162,JOB_4111,CV_2555,-1,1,-1,0,-1,0.003181698906503991,0
163,JOB_4111,CV_2991,-1,0,1,0,-1,0.02828921519950765,0
164,JOB_4111,CV_3546,-1,0,-1,-1,-1,0.0008827918008007309,0
165,JOB_4111,CV_3500,-1,-1,1,0,-1,0.002639631480061397,0
166,JOB_4111,CV_1015,-1,0,0,0,-1,0.01374087676851104,0
167,JOB_4111,CV_1971,-1,1,-1,0,-1,0.003181698906503991,0
168,JOB_4111,CV_2749,-1,0,0,0,-1,0.01374087676851104,0
169,JOB_4111,CV_2392,-1,0,1,0,-1,0.02828921519950765,0
170,JOB_4111,CV_879,-1,1,1,0,-1,0.05790168407977278,0
171,JOB_4111,CV_999,-1,1,-1,0,-1,0.003181698906503991,0
172,JOB_4111,CV_2574,-1,1,-1,0,-1,0.003181698906503991,0
173,JOB_4111,CV_433,-1,1,0,0,-1,0.028572286214813686,0
174,JOB_4111,CV_2658,-1,0,-1,0,-1,0.0015096485596628858,0
175,JOB_4111,CV_1287,-1,0,1,-1,-1,0.016728886119059285,0
176,JOB_4111,CV_1019,-1,1,-1,0,-1,0.003181698906503991,0
177,JOB_4111,CV_2961,-1,1,0,0,-1,0.028572286214813686,0
178,JOB_4111,CV_3719,-1,1,-1,0,-1,0.003181698906503991,0
179,JOB_4111,CV_3200,-1,1,1,0,-1,0.05790168407977278,0
180,JOB_4111,CV_421,-1,1,0,0,-1,0.028572286214813686,0
181,JOB_4111,CV_223,-1,1,-1,0,1,0.01587322249542733,0
182,JOB_4111,CV_2445,-1,0,-1,0,-1,0.0015096485596628858,0
183,JOB_4111,CV_1045,-1,-1,-1,-1,-1,8.03182586734358e-05,0
184,JOB_4111,CV_296,-1,1,0,0,-1,0.028572286214813686,0
185,JOB_4111,CV_3090,-1,0,1,0,-1,0.02828921519950765,0
186,JOB_4111,CV_3929,-1,1,0,0,-1,0.028572286214813686,0
187,JOB_4111,CV_3429,-1,0,-1,-1,-1,0.0008827918008007309,0
188,JOB_4111,CV_3075,-1,1,-1,0,-1,0.003181698906503991,0
189,JOB_4111,CV_3722,-1,0,-1,0,-1,0.0015096485596628858,0
190,JOB_4111,CV_1517,-1,1,0,0,-1,0.028572286214813686,0
191,JOB_4111,CV_2341,-1,1,-1,0,-1,0.003181698906503991,0
192,JOB_4111,CV_1636,-1,0,1,0,-1,0.02828921519950765,0
193,JOB_4111,CV_1793,-1,1,-1,0,-1,0.003181698906503991,0
194,JOB_4111,CV_2977,-1,1,1,0,-1,0.05790168407977278,0
195,JOB_4111,CV_2415,-1,-1,1,-1,-1,0.0015442935692705172,0
196,JOB_4111,CV_116,-1,1,-1,0,-1,0.003181698906503991,0
197,JOB_4111,CV_176,-1,0,-1,0,-1,0.0015096485596628858,0
198,JOB_4111,CV_1963,-1,1,0,0,-1,0.028572286214813686,0
199,JOB_4111,CV_3563,-1,1,-1,0,-1,0.003181698906503991,0
200,JOB_369,CV_1803,-1,0,-1,0,-1,0.0015096485596628858,0
201,JOB_369,CV_1070,-1,0,1,0,-1,0.02828921519950765,0
202,JOB_369,CV_3657,-1,0,1,1,-1,0.05232559089768777,0
203,JOB_369,CV_3543,-1,-1,1,0,-1,0.002639631480061397,0
204,JOB_369,CV_788,-1,-1,-1,0,-1,0.00013742938756156384,0
205,JOB_369,CV_296,-1,-1,0,1,-1,0.002396402946724275,0
206,JOB_369,CV_2584,-1,-1,-1,0,-1,0.00013742938756156384,0
207,JOB_369,CV_618,-1,0,1,0,-1,0.02828921519950765,0
208,JOB_369,CV_2024,-1,0,1,0,-1,0.02828921519950765,0
209,JOB_369,CV_080,-1,0,1,1,-1,0.05232559089768777,0
210,JOB_369,CV_116,-1,-1,-1,1,-1,0.00026061368312641647,0
211,JOB_369,CV_813,-1,0,1,-1,-1,0.016728886119059285,0
212,JOB_369,CV_187,-1,0,1,1,-1,0.05232559089768777,0
213,JOB_369,CV_272,-1,-1,-1,1,-1,0.00026061368312641647,0
214,JOB_369,CV_665,-1,-1,1,0,-1,0.002639631480061397,0
215,JOB_369,CV_3757,-1,0,-1,0,-1,0.0015096485596628858,0
216,JOB_369,CV_3098,-1,-1,1,0,-1,0.002639631480061397,0
217,JOB_369,CV_481,-1,0,-1,0,-1,0.0015096485596628858,0
218,JOB_369,CV_1231,-1,0,1,-1,-1,0.016728886119059285,0
219,JOB_369,CV_2313,-1,0,-1,-1,-1,0.0008827918008007309,0
220,JOB_369,CV_2732,-1,0,-1,0,-1,0.0015096485596628858,0
221,JOB_369,CV_1682,-1,0,-1,0,-1,0.0015096485596628858,0
222,JOB_369,CV_2476,-1,0,1,-1,1,0.07916723666250709,0
223,JOB_369,CV_2069,-1,0,-1,1,-1,0.002859298785317209,0
224,JOB_369,CV_2379,-1,0,1,-1,-1,0.016728886119059285,0
225,JOB_369,CV_640,-1,0,1,1,-1,0.05232559089768777,0
226,JOB_369,CV_3094,-1,-1,-1,0,-1,0.00013742938756156384,0
227,JOB_369,CV_1380,-1,-1,1,0,-1,0.002639631480061397,0
228,JOB_369,CV_046,-1,-1,0,1,-1,0.002396402946724275,0
229,JOB_369,CV_307,-1,-1,0,0,-1,0.0012649722795961807,0
230,JOB_369,CV_3284,-1,0,-1,0,-1,0.0015096485596628858,0
231,JOB_369,CV_3744,-1,-1,1,1,-1,0.004994451571761179,0
232,JOB_369,CV_3962,-1,0,-1,0,1,0.007582239379063284,0
233,JOB_369,CV_2653,-1,0,-1,0,-1,0.0015096485596628858,0
234,JOB_369,CV_2553,-1,-1,1,0,-1,0.002639631480061397,0
235,JOB_369,CV_2979,-1,-1,1,0,-1,0.002639631480061397,0
236,JOB_369,CV_2541,-1,-1,-1,0,1,0.0006940787367398552,0
237,JOB_369,CV_433,-1,0,0,1,-1,0.025743514038269317,0
238,JOB_369,CV_2658,-1,0,-1,0,1,0.007582239379063284,0
239,JOB_369,CV_1807,-1,0,1,1,-1,0.05232559089768777,0
240,JOB_369,CV_2015,-1,-1,0,-1,-1,0.0007396380664553713,0
241,JOB_369,CV_1224,-1,-1,-1,1,-1,0.00026061368312641647,0
242,JOB_369,CV_3173,-1,0,1,0,-1,0.02828921519950765,0
243,JOB_369,CV_2356,-1,-1,-1,0,1,0.0006940787367398552,0
244,JOB_369,CV_924,-1,0,1,-1,-1,0.016728886119059285,0
245,JOB_369,CV_1085,-1,0,-1,0,-1,0.0015096485596628858,0
246,JOB_369,CV_1971,-1,-1,-1,1,-1,0.00026061368312641647,0
247,JOB_369,CV_3090,-1,-1,1,0,-1,0.002639631480061397,0
248,JOB_369,CV_3075,-1,-1,-1,1,1,0.0013155570174856266,0
249,JOB_369,CV_137,-1,-1,0,0,1,0.006359616677526063,0
250,JOB_369,CV_1792,-1,-1,1,0,-1,0.002639631480061397,0
251,JOB_369,CV_2555,-1,0,-1,0,1,0.007582239379063284,0
252,JOB_369,CV_1355,-1,-1,-1,0,-1,0.00013742938756156384,0
253,JOB_369,CV_3455,-1,-1,-1,-1,-1,8.03182586734358e-05,0
254,JOB_369,CV_3625,-1,0,-1,1,-1,0.002859298785317209,0
255,JOB_369,CV_1574,-1,-1,1,0,-1,0.002639631480061397,0
256,JOB_369,CV_085,-1,0,1,0,-1,0.02828921519950765,0
257,JOB_369,CV_1161,-1,0,1,1,-1,0.05232559089768777,0
258,JOB_369,CV_1618,-1,0,1,-1,-1,0.016728886119059285,0
259,JOB_369,CV_3949,-1,0,1,-1,-1,0.016728886119059285,0
260,JOB_369,CV_622,-1,0,0,1,-1,0.025743514038269317,0
261,JOB_369,CV_3647,-1,-1,1,0,-1,0.002639631480061397,0
262,JOB_369,CV_2596,-1,-1,-1,1,-1,0.00026061368312641647,0
263,JOB_369,CV_3088,-1,0,1,0,-1,0.02828921519950765,0
264,JOB_369,CV_469,-1,0,1,0,1,0.12824728097545876,0
265,JOB_369,CV_388,-1,0,-1,0,1,0.007582239379063284,0
266,JOB_369,CV_2492,-1,0,1,0,-1,0.02828921519950765,0
267,JOB_369,CV_3929,-1,-1,0,0,-1,0.0012649722795961807,0
268,JOB_369,CV_2392,-1,0,1,0,1,0.12824728097545876,0
269,JOB_369,CV_2723,-1,-1,-1,1,-1,0.00026061368312641647,0
270,JOB_369,CV_3753,-1,0,-1,0,-1,0.0015096485596628858,0
271,JOB_369,CV_1632,-1,-1,1,-1,-1,0.0015442935692705172,0
272,JOB_369,CV_3533,-1,-1,1,0,-1,0.002639631480061397,0
273,JOB_369,CV_2327,-1,0,-1,1,-1,0.002859298785317209,0
274,JOB_369,CV_605,-1,-1,-1,0,-1,0.00013742938756156384,0
275,JOB_369,CV_2445,-1,-1,-1,0,-1,0.00013742938756156384,0
276,JOB_369,CV_2615,-1,0,-1,1,-1,0.002859298785317209,0
277,JOB_369,CV_216,-1,0,1,0,-1,0.02828921519950765,0
278,JOB_369,CV_869,-1,0,-1,0,-1,0.0015096485596628858,0
279,JOB_369,CV_1031,-1,0,1,1,-1,0.05232559089768777,0
280,JOB_369,CV_1172,-1,-1,1,-1,-1,0.0015442935692705172,0
281,JOB_369,CV_3197,-1,-1,1,0,-1,0.002639631480061397,0
282,JOB_369,CV_1633,-1,0,1,1,-1,0.05232559089768777,0
283,JOB_369,CV_1636,-1,-1,1,0,-1,0.002639631480061397,0
284,JOB_369,CV_278,-1,-1,1,0,-1,0.002639631480061397,0
285,JOB_369,CV_2869,-1,0,-1,-1,-1,0.0008827918008007309,0
286,JOB_369,CV_1690,-1,0,0,0,1,0.06577288027095901,0
287,JOB_369,CV_3133,-1,0,-1,1,-1,0.002859298785317209,0
288,JOB_369,CV_1138,-1,0,1,1,-1,0.05232559089768777,0
289,JOB_369,CV_1252,-1,0,1,-1,-1,0.016728886119059285,0
290,JOB_369,CV_1151,-1,0,-1,1,-1,0.002859298785317209,0
291,JOB_369,CV_601,-1,-1,1,0,1,0.013197522239432963,0
292,JOB_369,CV_1015,-1,-1,0,0,-1,0.0012649722795961807,0
293,JOB_369,CV_661,-1,0,-1,0,-1,0.0015096485596628858,0
294,JOB_369,CV_2038,-1,0,-1,-1,-1,0.0008827918008007309,0
295,JOB_369,CV_2766,-1,-1,1,-1,1,0.0077551622213322515,0
296,JOB_369,CV_3670,-1,0,-1,0,-1,0.0015096485596628858,0
297,JOB_369,CV_2733,-1,1,-1,1,-1,0.006017180859498359,0
298,JOB_369,CV_879,-1,0,1,1,-1,0.05232559089768777,0
299,JOB_369,CV_1517,-1,0,0,1,1,0.11779695264608223,0
300,JOB_4758,CV_3429,-1,-1,-1,-1,-1,8.03182586734358e-05,0
301,JOB_4758,CV_2385,-1,-1,-1,-1,1,0.00040573633479455186,0
302,JOB_4758,CV_594,-1,-1,1,1,-1,0.004994451571761179,0
303,JOB_4758,CV_433,-1,-1,0,-1,-1,0.0007396380664553713,0
304,JOB_4758,CV_2436,-1,-1,1,-1,1,0.0077551622213322515,0
305,JOB_4758,CV_1690,-1,-1,0,-1,-1,0.0007396380664553713,0
306,JOB_4758,CV_2749,-1,-1,0,-1,-1,0.0007396380664553713,0
307,JOB_4758,CV_3670,-1,-1,-1,-1,1,0.00040573633479455186,0
308,JOB_4758,CV_3929,-1,-1,0,-1,-1,0.0007396380664553713,0
309,JOB_4758,CV_1036,-1,-1,1,-1,-1,0.0015442935692705172,0
310,JOB_4758,CV_028,-1,-1,1,-1,-1,0.0015442935692705172,0
311,JOB_4758,CV_388,-1,-1,-1,-1,-1,8.03182586734358e-05,0
312,JOB_4758,CV_176,-1,-1,-1,-1,1,0.00040573633479455186,0
313,JOB_4758,CV_3657,-1,-1,1,-1,-1,0.0015442935692705172,0
314,JOB_4758,CV_272,-1,-1,-1,-1,1,0.00040573633479455186,0
315,JOB_4758,CV_1803,-1,-1,-1,-1,1,0.00040573633479455186,0
316,JOB_4758,CV_2733,-1,-1,-1,-1,-1,8.03182586734358e-05,0
317,JOB_4758,CV_3145,-1,-1,1,-1,1,0.0077551622213322515,0
318,JOB_4758,CV_3636,-1,-1,-1,-1,-1,8.03182586734358e-05,0
319,JOB_4758,CV_160,-1,-1,-1,-1,-1,8.03182586734358e-05,0
320,JOB_4758,CV_2294,-1,-1,0,-1,-1,0.0007396380664553713,0
321,JOB_4758,CV_1231,-1,-1,1,-1,-1,0.0015442935692705172,0
322,JOB_4758,CV_3474,-1,-1,1,-1,1,0.0077551622213322515,0
323,JOB_4758,CV_1881,-1,-1,0,-1,-1,0.0007396380664553713,0
324,JOB_4758,CV_3094,-1,-1,-1,-1,-1,8.03182586734358e-05,0
325,JOB_4758,CV_1860,-1,-1,0,-1,-1,0.0007396380664553713,0
326,JOB_4758,CV_1031,-1,-1,1,-1,1,0.0077551622213322515,0
327,JOB_4758,CV_2365,-1,-1,0,-1,-1,0.0007396380664553713,0
328,JOB_4758,CV_3722,-1,-1,-1,-1,-1,8.03182586734358e-05,0
329,JOB_4758,CV_263,-1,-1,1,-1,-1,0.0015442935692705172,0
330,JOB_4758,CV_2541,-1,-1,-1,-1,-1,8.03182586734358e-05,0
331,JOB_4758,CV_3945,-1,-1,0,-1,-1,0.0007396380664553713,0
332,JOB_4758,CV_2253,-1,-1,1,-1,1,0.0077551622213322515,0
333,JOB_4758,CV_085,-1,-1,1,-1,-1,0.0015442935692705172,0
334,JOB_4758,CV_2615,-1,-1,-1,-1,1,0.00040573633479455186,0
335,JOB_4758,CV_2961,-1,-1,0,-1,1,0.0037264061914744602,0
336,JOB_4758,CV_2015,-1,-1,0,-1,-1,0.0007396380664553713,0
337,JOB_4758,CV_665,-1,-1,1,-1,-1,0.0015442935692705172,0
338,JOB_4758,CV_3563,-1,-1,-1,-1,1,0.00040573633479455186,0
339,JOB_4758,CV_3299,-1,-1,-1,-1,1,0.00040573633479455186,0
340,JOB_4758,CV_722,-1,-1,-1,-1,1,0.00040573633479455186,0
341,JOB_4758,CV_505,-1,-1,1,-1,-1,0.0015442935692705172,0
342,JOB_4758,CV_661,-1,-1,-1,-1,-1,8.03182586734358e-05,0
343,JOB_4758,CV_618,-1,-1,1,-1,1,0.0077551622213322515,0
344,JOB_4758,CV_2379,-1,-1,1,-1,-1,0.0015442935692705172,0
345,JOB_4758,CV_2658,-1,-1,-1,-1,-1,8.03182586734358e-05,0
346,JOB_4758,CV_2392,-1,-1,1,-1,-1,0.0015442935692705172,0
347,JOB_4758,CV_640,-1,-1,1,-1,1,0.0077551622213322515,0
348,JOB_4758,CV_2495,-1,-1,-1,-1,1,0.00040573633479455186,0
349,JOB_4758,CV_1792,-1,-1,1,-1,-1,0.0015442935692705172,0
350,JOB_4758,CV_532,-1,-1,1,-1,-1,0.0015442935692705172,0
351,JOB_4758,CV_1807,-1,-1,1,-1,1,0.0077551622213322515,0
352,JOB_4758,CV_046,-1,-1,0,-1,-1,0.0007396380664553713,0
353,JOB_4758,CV_2489,-1,-1,0,-1,1,0.0037264061914744602,0
